,fsk_rssi,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,press_compass_status,f_mode,gps_status,vehicle_type,error_flags1,gps_accH
20170727 08:54:13:797,-42,15.3,0.0,1.9596578E7,0.0065536,-124.148254,1.0104455,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:13:814,-45,15.3,0.0,0.03,41.656956,-83.60696,0.03,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:13:832,-42,15.3,0.0,0.03,41.656956,-83.60696,0.03,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:13:847,-46,15.3,0.0,0.03,41.656956,-83.60696,0.03,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:13:906,-43,15.3,0.0,0.02,41.656956,-83.60696,0.031622775,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:165,-35,15.3,0.0,0.02,41.656956,-83.60696,0.045825757,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:233,-34,15.3,0.0,0.02,41.656956,-83.60696,0.05385165,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:267,-34,15.3,0.0,0.02,41.656956,-83.60696,0.05385165,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:307,-40,15.3,0.0,0.01,41.656956,-83.60696,0.041231055,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:504,-42,15.3,0.0,0.01,41.656956,-83.60696,0.053851645,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:566,-38,15.3,0.0,0.0,41.656956,-83.60696,0.037416574,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:606,-43,15.3,0.0,0.0,41.656956,-83.60696,0.037416574,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:646,-41,15.3,0.0,0.0,41.656956,-83.60696,0.037416574,false,0,15,2.71,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:688,-44,15.3,0.0,0.0,41.656956,-83.60696,0.045825757,false,0,15,2.71,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:727,-41,15.3,0.0,0.0,41.656956,-83.60696,0.048989795,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:768,-44,15.3,0.0,0.0,41.656956,-83.60696,0.048989795,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
